run_id,pTransmit,arrive,triage,untreated,treated,adultAdmit,childAdmit,discharge,ambulatory,staffInfected,waitAvg,dsToHospital,S,I
1784522612161,0.0400,4078,28,43,8,26,2,8,4007,3,0.0337,4393,78099.16,40689.94
1784522612327,0.0400,4090,42,61,21,40,2,21,3987,3,0.0000,4393,78099.17,40689.93
1784522612466,0.0400,4085,31,57,8,28,3,8,3997,4,0.0112,4393,78099.13,40689.96
1784522612604,0.0400,4089,35,48,10,34,1,10,4006,2,0.0225,4393,78099.13,40689.96
1784522612722,0.0400,4087,37,62,15,35,2,15,3988,6,0.0449,4393,78099.15,40689.95
1784522612844,0.0400,4072,44,52,19,42,2,19,3976,3,0.0112,4393,78099.15,40689.95
1784522612936,0.0400,4093,37,60,18,33,4,18,3996,4,0.0112,4393,78099.13,40689.96
1784522613019,0.0400,4088,32,50,18,28,4,18,4006,5,0.0112,4393,78099.20,40689.91
1784522613103,0.0400,4071,27,52,9,27,0,9,3992,4,0.0112,4393,78099.13,40689.96
1784522613169,0.0400,4077,27,52,14,26,1,14,3998,5,0.0112,4393,78099.14,40689.95
1784522613375,0.0400,4068,41,49,20,41,0,20,3978,2,0.0337,4393,78099.16,40689.94
1784522613496,0.0400,4070,40,56,12,38,2,12,3974,0,0.0112,4393,78099.16,40689.94
1784522613606,0.0400,4087,32,48,16,27,5,16,4007,2,0.0225,4393,78099.15,40689.95
1784522613678,0.0400,4084,45,45,24,41,4,24,3994,2,0.0000,4393,78099.19,40689.91
1784522613732,0.0400,4080,45,56,20,42,3,20,3979,2,0.0225,4393,78099.15,40689.94
1784522613810,0.0400,4078,28,55,16,26,2,16,3995,4,0.0000,4393,78099.13,40689.96
1784522613866,0.0400,4093,36,52,17,36,0,17,4005,4,0.0112,4393,78099.18,40689.92
1784522613921,0.0400,4084,26,63,9,25,1,9,3995,1,0.0000,4393,78099.16,40689.94
1784522613972,0.0400,4090,36,48,14,35,1,14,4006,4,0.0112,4393,78099.15,40689.95
1784522614032,0.0400,4076,37,43,15,36,1,15,3996,5,0.0337,4393,78099.13,40689.96
1784522622968,0.0200,1575,20,26,8,19,1,8,1529,5,0.0000,1826,109700.47,11656.11
1784522623099,0.0300,2579,27,42,12,25,2,12,2510,3,0.0225,2850,97413.02,22919.81
1784522623239,0.0400,4080,42,57,16,41,1,16,3981,4,0.0000,4393,78099.13,40689.96
1784522623409,0.0500,6106,54,75,21,51,3,21,5977,3,0.0449,6460,54196.17,62525.88
1784522623565,0.0600,8426,75,105,25,71,4,25,8246,3,0.0337,8834,32167.58,82180.55
