Dia,NoTratados,TasaTransmision,FlujoHospital
0.0,0,0.06,68.88
1.0,0,0.06,70.21195547167713
2.0,0,0.06,71.56846036720141
3.0,0,0.06,72.94991867796351
4.0,0,0.06,74.35673903699886
5.0,0,0.06,75.78933471823942
6.0,0,0.06,77.24812355515864
7.0,0,0.06,78.73352795817127
8.0,0,0.06,80.24597480536416
9.0,2,0.06,81.78589544362774
10.0,3,0.06,83.35372559218344
11.0,5,0.06,84.94990529266786
12.0,7,0.06,86.57487880021924
13.0,9,0.06,88.22909457057106
14.0,10,0.06,89.91300509197897
15.0,14,0.06,91.62706689460538
16.0,16,0.06,93.37174025063808
17.0,20,0.06,95.14747284566673
18.0,26,0.06,96.95476509519416
19.0,30,0.06,98.79407215038978
20.0,38,0.06,100.66586715029844
21.0,45,0.06,102.57063089168449
22.0,49,0.06,104.50884294280539
23.0,51,0.06,106.48098719028434
24.0,56,0.06,108.48755029568176
25.0,59,0.06,110.52902143608131
26.0,61,0.06,112.6058921479652
27.0,62,0.06,114.71865610978979
28.0,65,0.06,116.86780901566789
29.0,69,0.06,119.05384819438119
30.0,75,0.06,121.27727232415585
