run_id,arrive,triage,untreated,treated,adultAdmit,childAdmit,discharge,ambulatory,staffInfected,waitAvg,dsToHospital,S,I
1784495319081,1508,26,56,16,25,1,30,1426,2,0.0112,1994,462688.39,1657.88
1784495319226,1509,36,53,12,37,0,23,1420,2,0.0225,1994,462688.39,1657.88
1784495319341,1500,31,47,16,27,4,26,1422,2,0.0225,1994,462688.39,1657.88
1784495319445,1519,31,50,11,30,1,27,1438,3,0.0225,1994,462688.39,1657.88
1784495319513,1521,36,50,19,34,2,39,1435,4,0.0112,1994,462688.39,1657.88
1784495319570,1511,33,59,19,31,2,27,1419,3,0.0000,1994,462688.39,1657.88
1784495319622,1513,29,43,12,25,4,21,1441,3,0.0000,1994,462688.39,1657.88
1784495319680,1506,39,55,20,36,3,34,1412,0,0.0337,1994,462688.39,1657.88
1784495319734,1520,28,62,14,25,3,29,1430,5,0.0000,1994,462688.39,1657.88
1784495319785,1522,35,56,18,33,2,33,1431,3,0.0000,1994,462688.39,1657.88
1784495319823,1516,35,54,18,34,1,31,1427,5,0.0337,1994,462688.39,1657.88
1784495319867,1507,37,38,14,35,2,28,1432,2,0.0225,1994,462688.39,1657.88
1784495319914,1511,44,49,17,41,3,27,1418,2,0.0112,1994,462688.39,1657.88
1784495319969,1524,39,48,19,36,3,30,1437,3,0.0000,1994,462688.39,1657.88
1784495320018,1512,31,55,14,28,3,22,1426,5,0.0112,1994,462688.39,1657.88
1784495320076,1518,32,60,16,31,1,32,1426,0,0.0000,1994,462688.39,1657.88
1784495320130,1499,40,62,21,36,3,31,1397,1,0.0112,1994,462688.39,1657.88
1784495320176,1518,37,59,18,35,2,24,1422,0,0.0225,1994,462688.39,1657.88
1784495320228,1506,41,57,17,38,3,30,1408,5,0.0112,1994,462688.39,1657.88
1784495320269,1516,34,45,11,34,0,27,1437,5,0.0000,1994,462688.39,1657.88
